text,label
"Age: 5120 days, Updated: 15 days ago, Maint: 18, Version: 4.18.1",0
"Age: 4800 days, Updated: 5 days ago, Maint: 25, Version: 4.18.2",0
"Age: 3200 days, Updated: 30 days ago, Maint: 1, Version: 7.0.0",0
"Age: 1 days, Updated: 0 days ago, Maint: 1, Version: 99.0.0",1
"Age: 2 days, Updated: 0 days ago, Maint: 1, Version: 1.0.0-security-fix",1
"Age: 1500 days, Updated: 0 days ago, Maint: 1, Version: 11.0.0",1
"Age: 0 days, Updated: 0 days ago, Maint: 1, Version: 1.0.0",1
"Age: 60 days, Updated: 5 days ago, Maint: 2, Version: 1.2.1",0
"Age: 4000 days, Updated: 400 days ago, Maint: 1, Version: 2.0.0",0
"Age: 2500 days, Updated: 200 days ago, Maint: 12, Version: 3.1.0",0
"Age: 5 days, Updated: 0 days ago, Maint: 1, Version: 1.0.5",1
"Age: 10 days, Updated: 1 days ago, Maint: 1, Version: 999.0.0",1
"Age: 3500 days, Updated: 100 days ago, Maint: 5, Version: 2.4.5",0
"Age: 3 days, Updated: 0 days ago, Maint: 1, Version: 0.0.1-alpha.8",1
"Age: 2200 days, Updated: 2 days ago, Maint: 10, Version: 5.0.1",0
"Age: 1535 days, Updated: 1495 days ago, Maint: 1, Version: 1.0.0",1
