text,label
"Age: 0 days, Updated: 0 days ago, Maint: 1, Downloads: 2, Dependents: 0",1
"Age: 1 days, Updated: 0 days ago, Maint: 1, Downloads: 7, Dependents: 0",1
"Age: 1 days, Updated: 1 days ago, Maint: 1, Downloads: 11, Dependents: 0",1
"Age: 2 days, Updated: 0 days ago, Maint: 1, Downloads: 18, Dependents: 0",1
"Age: 3 days, Updated: 0 days ago, Maint: 1, Downloads: 24, Dependents: 0",1
"Age: 4 days, Updated: 2 days ago, Maint: 1, Downloads: 31, Dependents: 0",1
"Age: 5 days, Updated: 0 days ago, Maint: 1, Downloads: 45, Dependents: 0",1
"Age: 6 days, Updated: 1 days ago, Maint: 1, Downloads: 52, Dependents: 1",1
"Age: 7 days, Updated: 7 days ago, Maint: 1, Downloads: 9, Dependents: 0",1
"Age: 9 days, Updated: 0 days ago, Maint: 1, Downloads: 63, Dependents: 0",1
"Age: 12 days, Updated: 3 days ago, Maint: 2, Downloads: 88, Dependents: 0",1
"Age: 15 days, Updated: 0 days ago, Maint: 1, Downloads: 102, Dependents: 0",1
"Age: 21 days, Updated: 21 days ago, Maint: 1, Downloads: 14, Dependents: 0",1
"Age: 30 days, Updated: 1 days ago, Maint: 1, Downloads: 156, Dependents: 2",1
"Age: 45 days, Updated: 44 days ago, Maint: 1, Downloads: 27, Dependents: 0",1
"Age: 60 days, Updated: 0 days ago, Maint: 1, Downloads: 190, Dependents: 0",1
"Age: 90 days, Updated: 89 days ago, Maint: 1, Downloads: 41, Dependents: 0",1
"Age: 120 days, Updated: 5 days ago, Maint: 1, Downloads: 225, Dependents: 3",1
"Age: 180 days, Updated: 179 days ago, Maint: 1, Downloads: 66, Dependents: 0",1
"Age: 2 days, Updated: 0 days ago, Maint: 1, Downloads: 0, Dependents: 0",1
"Age: 5 days, Updated: 0 days ago, Maint: 1, Downloads: 3, Dependents: 0",1
"Age: 8 days, Updated: 2 days ago, Maint: 2, Downloads: 112, Dependents: 0",1
"Age: 14 days, Updated: 0 days ago, Maint: 1, Downloads: 480, Dependents: 0",1
"Age: 40 days, Updated: 38 days ago, Maint: 1, Downloads: 95, Dependents: 1",1
"Age: 100 days, Updated: 99 days ago, Maint: 1, Downloads: 130, Dependents: 0",1
